epoch,score,lr,seconds,train_accuracy,train_macro_f1,train_weighted_f1,train_mae,train_pearson,train_ccc,train_loss,train_cls,train_reg,train_rec,train_distill,valid_clean_accuracy,valid_clean_macro_f1,valid_clean_weighted_f1,valid_clean_mae,valid_clean_pearson,valid_clean_ccc,valid_clean_loss,valid_clean_cls,valid_clean_reg,valid_clean_rec,valid_clean_distill,valid_missing_accuracy,valid_missing_macro_f1,valid_missing_weighted_f1,valid_missing_mae,valid_missing_pearson,valid_missing_ccc,valid_missing_loss,valid_missing_cls,valid_missing_reg,valid_missing_rec,valid_missing_distill
1,0.6494517816719959,0.001,5.0,0.554639175257732,0.5359743478993394,0.5654066050448184,0.7431843876838684,0.4726626336078683,0.40477597114174546,1.1569473008168463,0.9591950159185239,0.3955045821696564,0.0,0.0,0.5879120879120879,0.5850217945962627,0.5998847783422251,0.6278923153877258,0.6048215314085786,0.5436979719855869,1.04195063323765,0.8923904646883954,0.2991203501984313,0.0,0.0,0.5975274725274725,0.5925611846664478,0.6087752314979036,0.6287032961845398,0.6066029204064056,0.526196490644797,1.0445876134620917,0.8937568978948908,0.3016614160694919,0.0,0.0
2,0.669420174565577,0.001,4.6,0.6486008836524301,0.6351164947034714,0.6585329762104519,0.6455758213996887,0.6392002988620976,0.5968021258591731,0.9630695294561372,0.8059596075927387,0.3142198427085146,0.0,0.0,0.6222527472527473,0.6142440143943181,0.6281153169226341,0.6407319903373718,0.6320136136842902,0.6267413599499376,1.0652199315500783,0.9114730986920032,0.3074936359138279,0.0,0.0,0.6098901098901099,0.597842510150825,0.6135656662820111,0.6389620304107666,0.6337691229300543,0.626889918231594,1.060431807905763,0.9091508257520068,0.3025619865773798,0.0,0.0
3,0.6483977887601429,0.001,4.3,0.6742268041237114,0.6608255007067005,0.6833252811411782,0.5985273122787476,0.6922664692724962,0.6600215342609066,0.8911469542400826,0.7518686578621394,0.27855659357226825,0.0,0.0,0.5892857142857143,0.5831040742675206,0.6012109578572342,0.612586259841919,0.6213438515180211,0.5685224308942787,1.0990369909412259,0.9547730291282738,0.28852794917075186,0.0,0.0,0.5934065934065934,0.5895868012551277,0.6055217360357072,0.6119884252548218,0.6205235099881863,0.5490003075150847,1.0807241528898806,0.9367173641592592,0.28801358401120364,0.0,0.0
4,0.6605994056740869,0.001,4.4,0.7122238586156112,0.7019601275452891,0.7212086863528312,0.5727525353431702,0.7244318274089385,0.6970503736929753,0.8135267764988283,0.6847885557846749,0.2574764372015561,0.0,0.0,0.6071428571428571,0.6015535284623175,0.6136508242294433,0.633098840713501,0.6154289165868061,0.5983106544145677,1.1215997764042445,0.9695117198503934,0.3041761039377569,0.0,0.0,0.6043956043956044,0.5993906296605894,0.611858549428212,0.6346561908721924,0.601273266126334,0.580653635132805,1.112559369632176,0.9594883866362519,0.30614197417929934,0.0,0.0
5,0.6410873870391854,0.0005,4.3,0.750220913107511,0.7387623283570691,0.7572009468918577,0.5427196025848389,0.7474906936423575,0.7230148250450391,0.7383552049150874,0.618588460913814,0.2395334843771096,0.0,0.0,0.5947802197802198,0.5892864898038846,0.6026435717321995,0.6357858777046204,0.5955719687448267,0.5872656966624923,1.155630879349761,0.9998415027345929,0.3115787365279355,0.0,0.0,0.5810439560439561,0.576079693529358,0.5888582620642507,0.6397181749343872,0.584042953725642,0.5729291176812943,1.140054198411795,0.9829769710918049,0.31415444972750906,0.0,0.0
6,0.6472812283598105,0.0005,4.2,0.7896907216494845,0.781301424731747,0.7949318143559102,0.5060750246047974,0.7878459119686707,0.7698798789714318,0.6247135358987396,0.5195218427894042,0.21038338604310475,0.0,0.0,0.603021978021978,0.5880711945190575,0.6068099096269747,0.6486915349960327,0.6026152053567506,0.5979519388074903,1.278994809140216,1.1198324882067168,0.31832464088450424,0.0,0.0,0.6043956043956044,0.5878664391384548,0.6080074008505655,0.6529269814491272,0.5931241153105422,0.587219413666252,1.2821994535215608,1.1213672658899327,0.3216643703507853,0.0,0.0
