epoch,score,lr,seconds,train_accuracy,train_macro_f1,train_weighted_f1,train_mae,train_pearson,train_ccc,train_loss,train_cls,train_reg,train_rec,train_distill,valid_clean_accuracy,valid_clean_macro_f1,valid_clean_weighted_f1,valid_clean_mae,valid_clean_pearson,valid_clean_ccc,valid_clean_loss,valid_clean_cls,valid_clean_reg,valid_clean_rec,valid_clean_distill,valid_missing_accuracy,valid_missing_macro_f1,valid_missing_weighted_f1,valid_missing_mae,valid_missing_pearson,valid_missing_ccc,valid_missing_loss,valid_missing_cls,valid_missing_reg,valid_missing_rec,valid_missing_distill
1,0.5793365178503271,0.001,7.4,0.5357879234167894,0.4452510575050858,0.5052835052153899,0.7854502201080322,0.4262588232593469,0.36763445528803707,2.828736829301219,1.0222252646321226,0.42480483964985355,2.043330557111086,0.9811099661072505,0.6016483516483516,0.5191406728162731,0.5653950382578066,0.7494232058525085,0.5964597089713057,0.5803259782005397,1.2541629744100047,1.0620960730772753,0.3841338160928789,0.0,0.0,0.6016483516483516,0.5207449995944488,0.5664162554730432,0.7274689078330994,0.5939368164496629,0.5772178520287516,2.515380377297873,1.0427649296247041,0.37120980679333865,4.290034959604452,0.0
2,0.6592887842581856,0.001,6.7,0.6309278350515464,0.5971025439162796,0.6354811235080337,0.623060941696167,0.6812875879102134,0.65811123352131,1.5924780287693456,0.8466508517560271,0.29284361035224266,0.9424797694532088,0.31666141939795245,0.6071428571428571,0.5973543580326491,0.6157272126798617,0.6110283732414246,0.6553573328409504,0.6390797408954693,1.0253046790322105,0.8830251222128397,0.28455914704354257,0.0,0.0,0.6043956043956044,0.5913742794901093,0.6123837754307614,0.6075171828269958,0.6492446549680643,0.6287032191393765,2.21539242713006,0.8855514395367968,0.28424959654336446,3.959053663107065,0.0
3,0.6830825848475646,0.001,7.3,0.6668630338733431,0.641532068597634,0.6720903988653066,0.6060469150543213,0.700876493401213,0.6804087403133006,1.3843638691178828,0.786198938753187,0.27862652079346256,0.8298369592349203,0.2099005757357832,0.6428571428571429,0.6244327165944514,0.6426707845275723,0.611194372177124,0.6640400179118903,0.6564084463153325,1.0243164078219906,0.8806251614958376,0.287382484792353,0.0,0.0,0.6291208791208791,0.610613329484436,0.630223748361058,0.6082234978675842,0.6555956180812088,0.647450207280812,2.3697757930546017,0.8846772319667942,0.28738796874717043,4.471348416674268,0.0
4,0.671060637625004,0.001,6.6,0.6980854197349042,0.6764695354291345,0.7029864805739597,0.5804349780082703,0.7293232296248414,0.7119862410982193,1.2445640066762034,0.733556837677429,0.2596528331555744,0.7112300282901095,0.16781173070154765,0.6332417582417582,0.6149418339547013,0.6340225582399579,0.5997011065483093,0.6598007492658481,0.6466045244296186,1.0260315177204844,0.8870768782856701,0.27790928476459376,0.0,0.0,0.614010989010989,0.5962864630539103,0.6160983937617371,0.5953331589698792,0.6544648912069813,0.6374821384710164,2.3213506635728773,0.8782495862835056,0.2764352275120033,4.349611355708196,0.0
5,0.6862622259517488,0.001,6.6,0.7072164948453609,0.6852276596559076,0.7112189230771487,0.5589678287506104,0.7484793259731225,0.7298508443399286,1.1431295882268577,0.704961370421088,0.24365675644688473,0.5728278865607042,0.14449146384913722,0.6291208791208791,0.6178423992616968,0.6355332706471176,0.5813712477684021,0.6756200293539772,0.651822268440187,0.9999928448226426,0.8678712412551209,0.26424323464487937,0.0,0.0,0.6318681318681318,0.6213512223380836,0.6373524443578666,0.5777460336685181,0.6666541515185866,0.6389802581719533,2.2823801931444105,0.861797558082329,0.2647671607824472,4.293996700873742,0.0
6,0.6809986573664131,0.001,6.5,0.7313696612665684,0.7127401986461157,0.7355574132638764,0.5515440702438354,0.7576098080033457,0.7397632587156873,1.0818057711942557,0.6756464733290918,0.2367721760132527,0.5010436211664652,0.13746012046560097,0.6277472527472527,0.6137630884499158,0.6316324279455308,0.6010012626647949,0.6681755041703626,0.658086883102574,1.0290498628721132,0.8901990966482477,0.27770153146523696,0.0,0.0,0.6291208791208791,0.6154757190782599,0.6337033837306069,0.5961739420890808,0.6637925360232518,0.6528582112687213,2.3015712067321106,0.88884367785611,0.27602855746562666,4.249044004377428,0.0
7,0.6802367492084649,0.001,6.3,0.7505154639175258,0.7341359258752777,0.7548243349488379,0.5360670685768127,0.771344171888535,0.7541425470318259,1.0282123064784132,0.6387045128619372,0.22738968530924927,0.4937520180254165,0.12768733615113287,0.6318681318681318,0.6188573900141915,0.6345641220837294,0.5858299136161804,0.6785348896528696,0.6667206272944866,1.0039812562229868,0.8693633760724749,0.26923575571605135,0.0,0.0,0.625,0.6077524554298748,0.6271310417692906,0.5910124182701111,0.6693182648643182,0.6558233539251052,2.1648630991086857,0.8786718242771023,0.2730718788864848,3.8321842832879707,0.0
8,0.6817592431575819,0.0005,6.4,0.7620029455081001,0.7467363762965377,0.7650389025864383,0.5273475646972656,0.7797550871864298,0.7628394137783296,1.0127399921768367,0.6054129556808977,0.2205003987706989,0.5061755331696748,0.14522418417969227,0.6318681318681318,0.6161951882661384,0.632602480736118,0.5884748101234436,0.6815956876503811,0.6688414190422881,1.0145648141483685,0.8807824443984817,0.26756474670473035,0.0,0.0,0.6277472527472527,0.6130266259383172,0.6294576754693867,0.5892812013626099,0.6714833605535396,0.6569050189883783,2.1642118836497213,0.8803833408670111,0.2699527743753496,3.8295069998437232,0.0
9,0.669082788577986,0.0005,6.4,0.7970544918998528,0.7841044327907639,0.7995978053129925,0.5112283825874329,0.7908873241690763,0.7735954265876063,0.9446465447303648,0.5698231889678382,0.211333519668594,0.44822143405807563,0.1346901574700149,0.6208791208791209,0.6034405019712366,0.6219779853662912,0.6035248041152954,0.6663289632538062,0.6546075718420822,1.0455498446475018,0.9061443923593877,0.27881089540628284,0.0,0.0,0.6208791208791209,0.6033609080113784,0.6221704664578579,0.6041219830513,0.6568208358667845,0.6446026858620415,2.257150615964617,0.9062647426521385,0.2809105554779807,4.034768725489522,0.0
10,0.6747523469532493,0.0005,6.5,0.8055964653902798,0.7953358055910447,0.80798486236179,0.5011945366859436,0.7992742509731463,0.7817557723119802,0.9070928352395283,0.5415620689188433,0.20364796336690877,0.4414283792119314,0.13127826525992953,0.6236263736263736,0.6095601991546439,0.625383686928006,0.6029658317565918,0.668473680620588,0.6588070581863597,1.0484051337608924,0.9088774133514572,0.2790554486788236,0.0,0.0,0.6222527472527473,0.6083352191222563,0.6242227606272378,0.60560542345047,0.6580463781479923,0.6471164166655141,2.250236044873248,0.9108589861419175,0.28207174303767446,3.9944703054952098,0.0
