epoch,score,lr,seconds,train_accuracy,train_macro_f1,train_weighted_f1,train_mae,train_pearson,train_ccc,train_loss,train_cls,train_reg,train_rec,train_distill,valid_clean_accuracy,valid_clean_macro_f1,valid_clean_weighted_f1,valid_clean_mae,valid_clean_pearson,valid_clean_ccc,valid_clean_loss,valid_clean_cls,valid_clean_reg,valid_clean_rec,valid_clean_distill,valid_missing_accuracy,valid_missing_macro_f1,valid_missing_weighted_f1,valid_missing_mae,valid_missing_pearson,valid_missing_ccc,valid_missing_loss,valid_missing_cls,valid_missing_reg,valid_missing_rec,valid_missing_distill
1,0.6113564282384635,0.001,2.1,0.5640648011782032,0.5424612998466288,0.5726856387974603,0.7366308569908142,0.4954951812922465,0.4301776536459038,1.1157871626262637,0.9225673804051395,0.38643956495138965,0.0,0.0,0.5398351648351648,0.5395465002698189,0.5550728645161593,0.6220917105674744,0.6085887503477473,0.49875752488783226,1.056937146972824,0.9075946670312148,0.2986849471107944,0.0,0.0,0.5604395604395604,0.5616788814619188,0.5755794865551427,0.6194660663604736,0.6074373737259462,0.5000522992285311,1.0484114636431683,0.8993108285652412,0.2982012701558543,0.0,0.0
2,0.6824782860265934,0.001,1.8,0.6524300441826215,0.6363095292802495,0.661059680454799,0.6084040403366089,0.6889680040960394,0.644133308927297,0.9144559931509274,0.7729171796118914,0.2830776264899258,0.0,0.0,0.6263736263736264,0.6160848079069026,0.6328918809550087,0.6131426692008972,0.6321433793280512,0.6081827834254764,1.0285085518281538,0.8839954818998065,0.28902615492160505,0.0,0.0,0.6318681318681318,0.6231665846468711,0.6380925663470788,0.6117265820503235,0.628525897497065,0.6058753191626735,1.0237203299344242,0.8787091210648253,0.29002241249922867,0.0,0.0
3,0.6755237143565462,0.001,2.2,0.7033873343151694,0.6884859064868357,0.7097682502440862,0.583865225315094,0.7203341249421104,0.6952255837791327,0.823068998400698,0.6909717976081354,0.26419440042200076,0.0,0.0,0.6126373626373627,0.6079809853115301,0.6215576030452696,0.6178761720657349,0.6230572920624005,0.5399894429269101,1.0277102242459308,0.8809038832947448,0.2936126956572899,0.0,0.0,0.6222527472527473,0.6181789013533266,0.6305277147131815,0.6159971356391907,0.6244377102411787,0.5433161209058684,1.0223600026015396,0.876501861509386,0.29171629561172735,0.0,0.0
4,0.6531178733680956,0.001,2.1,0.7458026509572901,0.7342892338741933,0.7511845314418024,0.5504720211029053,0.7499718029415363,0.7242850002887476,0.7394345695737184,0.6194303143182454,0.24000850940049134,0.0,0.0,0.5810439560439561,0.5827121844563705,0.5926450375801897,0.6187527775764465,0.6179381406977136,0.5412870009531017,1.1181129348147048,0.970500105029934,0.2952256549845685,0.0,0.0,0.5975274725274725,0.5993267725182618,0.6089141172131586,0.6149859428405762,0.6209839488077942,0.5482261625196687,1.1123599272507887,0.965699899327624,0.29332007680620464,0.0,0.0
5,0.632143378783505,0.0005,2.1,0.7714285714285715,0.7589360880321526,0.7758860036973779,0.5310469269752502,0.7706510987675937,0.7517338618366529,0.6548668987796654,0.5420401752609567,0.2256534551310083,0.0,0.0,0.5934065934065934,0.5694121746862899,0.5947890515353587,0.6287420988082886,0.6028972439018091,0.5523575309890258,1.2666588170187814,1.1157529445794911,0.30181176845843977,0.0,0.0,0.5934065934065934,0.5732349570635832,0.5960839800467463,0.623970627784729,0.6081981290856849,0.5583755390326277,1.25374689075973,1.104067508990948,0.29935874552517144,0.0,0.0
6,0.6211385631869646,0.0005,2.5,0.8315169366715759,0.8201932769605372,0.8340968402997634,0.4818056523799896,0.8138702065286131,0.7997237599853095,0.5187999941639064,0.42370134548164784,0.19019729382686307,0.0,0.0,0.5810439560439561,0.5545468408532258,0.5800532484518859,0.6349585056304932,0.6038755118314074,0.5820150690071708,1.366997391312987,1.2142371830049452,0.30552044609090784,0.0,0.0,0.592032967032967,0.5666285516904588,0.5903417016779294,0.6352407336235046,0.6055086691512219,0.5835443051055534,1.3706689142918849,1.218151556266533,0.3050347108107347,0.0,0.0
