epoch,score,lr,seconds,train_accuracy,train_macro_f1,train_weighted_f1,train_mae,train_pearson,train_ccc,train_loss,train_cls,train_reg,train_rec,train_distill,valid_clean_accuracy,valid_clean_macro_f1,valid_clean_weighted_f1,valid_clean_mae,valid_clean_pearson,valid_clean_ccc,valid_clean_loss,valid_clean_cls,valid_clean_reg,valid_clean_rec,valid_clean_distill,valid_missing_accuracy,valid_missing_macro_f1,valid_missing_weighted_f1,valid_missing_mae,valid_missing_pearson,valid_missing_ccc,valid_missing_loss,valid_missing_cls,valid_missing_reg,valid_missing_rec,valid_missing_distill
1,0.6319180838460083,0.001,5.1,0.47717231222385864,0.4617198260949311,0.4874115469102814,0.7941356897354126,0.366327427219115,0.2829527596903224,1.2492164104781902,1.031333290968798,0.4357662434737707,0.0,0.0,0.5851648351648352,0.5797832665161304,0.5929697948683467,0.638655960559845,0.6168254461399024,0.582944910690515,1.0439149992806571,0.8921990257043105,0.3034319510826698,0.0,0.0,0.5659340659340659,0.5636461196153427,0.5760045499700855,0.6443871259689331,0.6020339078027165,0.5656414544755106,1.0598392237673748,0.9050928832410456,0.3094926817076547,0.0,0.0
2,0.6435458179289931,0.001,4.8,0.6047128129602356,0.595485717373561,0.6203624013133312,0.6419315934181213,0.6559632616318536,0.6201444363961791,0.9931338856954111,0.839224836524351,0.3078181026083731,0.0,0.0,0.5947802197802198,0.5938428510791133,0.6084696262939724,0.583346426486969,0.6634584255161007,0.5947675122639501,0.9987280892801809,0.8654933715914632,0.26646944880485535,0.0,0.0,0.5645604395604396,0.5646291340142668,0.5780656788885881,0.5942538380622864,0.6430982538230304,0.570395401491418,1.0206000804901123,0.8824379915719504,0.27632418733376723,0.0,0.0
3,0.6646838862772838,0.001,4.5,0.6586156111929308,0.6498800349027493,0.6709594689004821,0.595575213432312,0.7080458493077696,0.6799383194302628,0.8896133912066121,0.7536144101391484,0.27199796073039956,0.0,0.0,0.603021978021978,0.6009132553499453,0.6132505534557621,0.5876940488815308,0.6554647886408136,0.6359588669763426,1.006156753707718,0.8696000811817882,0.27311334046688707,0.0,0.0,0.603021978021978,0.6010196321912237,0.6139966282248572,0.594609260559082,0.6371744250669931,0.6119132143894784,1.0193356969854335,0.8795914951261583,0.27948838701614964,0.0,0.0
4,0.654882620104534,0.001,4.5,0.6930780559646539,0.6827746641402025,0.703401294518157,0.5497584939002991,0.7530274914524616,0.7307790815289249,0.8044309098783754,0.6847876892086332,0.23928642871190242,0.0,0.0,0.6126373626373627,0.5923795252117583,0.6168132198432262,0.6073062419891357,0.6534696055506175,0.6149625455338851,1.1459430167963216,1.0058842583017036,0.28011751338675783,0.0,0.0,0.6098901098901099,0.5901963717547308,0.6151491209215161,0.6143707633018494,0.6359467162128953,0.5905819717181163,1.1667359517170832,1.0229909799911163,0.28748995196688304,0.0,0.0
5,0.6456693334048029,0.001,4.3,0.7375552282768778,0.7296265552997986,0.7458978974749403,0.5323128700256348,0.7703124283157959,0.7517026083932444,0.7154044397449634,0.6024044622202158,0.22599994600784795,0.0,0.0,0.5906593406593407,0.5875334600459333,0.6029615469467572,0.5906309485435486,0.6462721822212261,0.6145000189903983,1.104685360258752,0.9671462237179934,0.2750782773389921,0.0,0.0,0.5837912087912088,0.5804219479180192,0.5953165185027417,0.6080030202865601,0.6169162942282674,0.5796868807187393,1.135820788341564,0.9912210336098304,0.289199465578729,0.0,0.0
6,0.6502727711022409,0.0005,4.3,0.7893961708394698,0.7813405800398238,0.7961841093684899,0.4940575361251831,0.8044142851269851,0.7871329196589323,0.6055163581346729,0.5054211699207682,0.20019037694024233,0.0,0.0,0.6098901098901099,0.5999370580165989,0.6163349220142561,0.6091644763946533,0.6201024812201991,0.5853546951228064,1.1520903320102902,1.008777467759101,0.2866257514272417,0.0,0.0,0.5934065934065934,0.5809322203265807,0.6002786278679297,0.6211802959442139,0.5983813193065114,0.5592362464614324,1.1744895793579437,1.025883966749841,0.29721122194122485,0.0,0.0
