config,seed,scenario,accuracy,macro_f1,weighted_f1,mae,pearson,ccc,best_epoch,train_seconds
cross_attn,42,clean,0.686382393397524,0.661333776845328,0.6921466446164446,0.6579499840736389,0.6963538933837458,0.6318230870802886,4,44.2
cross_attn,42,triple_30,0.671251719394773,0.6480483279957187,0.6796151168666749,0.672578752040863,0.6598281291409975,0.594907183619206,4,44.2
cross_attn,42,single_text_30,0.6698762035763411,0.6451838358173598,0.677634255873098,0.6750757694244385,0.6598638292025579,0.5941241582194996,4,44.2
cross_attn,42,single_audio_30,0.6891334250343879,0.6645055253388588,0.6951085414152814,0.6573363542556763,0.6961120551829364,0.631740769251704,4,44.2
cross_attn,42,single_vision_30,0.6850068775790922,0.6591804131496298,0.6909193928683153,0.6555125713348389,0.696217573639712,0.6323750390800051,4,44.2
dm_cmrn,42,clean,0.6354883081155434,0.6048548406078784,0.641126402834633,0.6362082362174988,0.672036160309815,0.6598890389654263,3,53.1
dm_cmrn,42,triple_30,0.6286107290233838,0.6055021880111457,0.6363601584440902,0.6508384346961975,0.6561720017113997,0.6382889327465346,3,53.1
dm_cmrn,42,single_text_30,0.6354883081155434,0.614862102825414,0.6441270648530112,0.6493456363677979,0.6562493692724197,0.6378379291358625,3,53.1
dm_cmrn,42,single_audio_30,0.6368638239339752,0.6061556952499288,0.6424692325369739,0.6363995671272278,0.671335133616138,0.6588833593437539,3,53.1
dm_cmrn,42,single_vision_30,0.640990371389271,0.6087129054520358,0.6453690967446125,0.6357989311218262,0.6728857428213542,0.6608590343428983,3,53.1
cross_attn,43,clean,0.6451169188445667,0.6339782167903427,0.6598289630308983,0.6478090286254883,0.6498622851759982,0.5853250418113977,4,44.2
cross_attn,43,triple_30,0.6121045392022009,0.6063247347096657,0.6283321891671851,0.6670864820480347,0.6260667176221868,0.5506558036870646,4,44.2
cross_attn,43,single_text_30,0.6189821182943603,0.6123111638577009,0.6350087854962332,0.6676300764083862,0.6255967669290025,0.5504682487569422,4,44.2
cross_attn,43,single_audio_30,0.6437414030261348,0.63216260574743,0.6585264511922231,0.6475220322608948,0.6504657545071642,0.586310624426188,4,44.2
cross_attn,43,single_vision_30,0.6451169188445667,0.6340332077669121,0.6592466401866003,0.6461388468742371,0.6505901920570685,0.5853772695955071,4,44.2
dm_cmrn,43,clean,0.6657496561210454,0.6332689832599647,0.6707609554208903,0.6226926445960999,0.7065414153043936,0.6385901144042186,4,60.2
dm_cmrn,43,triple_30,0.6437414030261348,0.6116432898691374,0.6511694069379262,0.6446073055267334,0.6813795821466779,0.606370756210662,4,60.2
dm_cmrn,43,single_text_30,0.6506189821182944,0.616643926745606,0.6572463833806935,0.6466806530952454,0.6817731447006549,0.6080830766623203,4,60.2
dm_cmrn,43,single_audio_30,0.6657496561210454,0.6332689832599647,0.6707609554208903,0.6224088668823242,0.7066313153244754,0.6379047432487119,4,60.2
dm_cmrn,43,single_vision_30,0.6629986244841816,0.6331059887684335,0.6687730974355917,0.6204038262367249,0.7066925078053073,0.6366970186073452,4,60.2
cross_attn,44,clean,0.6685006877579092,0.6168867196517268,0.663722093001367,0.627331554889679,0.6983995400087072,0.6707556296704722,4,45.9
cross_attn,44,triple_30,0.6588720770288858,0.6095013795068084,0.6573806996194523,0.6379306316375732,0.677384049947705,0.6453624574865474,4,45.9
cross_attn,44,single_text_30,0.6588720770288858,0.6075411979358677,0.6567922494051849,0.6399437189102173,0.6782269784550549,0.6458135803868744,4,45.9
cross_attn,44,single_audio_30,0.6685006877579092,0.6169760584384021,0.663887603046632,0.6272128224372864,0.6983063386984089,0.6708832925653274,4,45.9
cross_attn,44,single_vision_30,0.6671251719394773,0.6122751731405731,0.6607838180918268,0.6246098875999451,0.6986352445956213,0.6711216509499859,4,45.9
dm_cmrn,44,clean,0.671251719394773,0.6380689743709415,0.6729394325377017,0.6135358810424805,0.7046598975461187,0.6632700480945809,10,73.3
dm_cmrn,44,triple_30,0.6464924346629987,0.6223302472880192,0.6518881009161838,0.626611590385437,0.6920918843920085,0.6436078380769851,10,73.3
dm_cmrn,44,single_text_30,0.6492434662998624,0.624702847905672,0.6539336299393544,0.6271348595619202,0.6920972224971418,0.6467561598371018,10,73.3
dm_cmrn,44,single_audio_30,0.6643741403026134,0.6324550488086692,0.6679706319492771,0.6136115789413452,0.7045010100351594,0.6611700798764294,10,73.3
dm_cmrn,44,single_vision_30,0.672627235213205,0.6390155627674633,0.6741679433277921,0.6130452752113342,0.7042340794762805,0.6625094692620609,10,73.3
cross_attn,45,clean,0.6519944979367263,0.6247182456540138,0.6577757113057917,0.6410616636276245,0.682361470722603,0.6717627469753467,2,36.6
cross_attn,45,triple_30,0.6464924346629987,0.6243273989314025,0.6545947070168077,0.6498518586158752,0.6755998674807066,0.6612063959313793,2,36.6
cross_attn,45,single_text_30,0.6478679504814305,0.6261144267845866,0.6560660291620612,0.6504085659980774,0.6756852113415857,0.6617512134661939,2,36.6
cross_attn,45,single_audio_30,0.6492434662998624,0.622320047241303,0.6551746675173832,0.6411330103874207,0.6819110118521667,0.6712994347531548,2,36.6
cross_attn,45,single_vision_30,0.6451169188445667,0.6181023165467033,0.6515381256415173,0.6402754783630371,0.6823627582890823,0.6713837979112312,2,36.6
dm_cmrn,45,clean,0.6685006877579092,0.6394507823496719,0.6751393166498275,0.6155382990837097,0.6959787264029759,0.6580748271306266,3,56.1
