modality,position,masked_windows,clean_f1,masked_f1,delta_f1
text,start,5,0.5783973814548756,0.5499240050717348,-0.028473376383140847
text,start,15,0.5783973814548756,0.4987575160551066,-0.07963986539976903
text,start,25,0.5783973814548756,0.4220793494987043,-0.15631803195617133
text,middle,5,0.5783973814548756,0.5794505064070282,0.0010531249521525954
text,middle,15,0.5783973814548756,0.5819364520022415,0.003539070547365908
text,middle,25,0.5783973814548756,0.5725617023346642,-0.005835679120211434
text,end,5,0.5783973814548756,0.5783973814548756,0.0
text,end,15,0.5783973814548756,0.5757234407149638,-0.0026739407399117843
text,end,25,0.5783973814548756,0.5875687884732071,0.009171407018331523
audio,start,5,0.5783973814548756,0.5713703753740734,-0.007027006080802201
audio,start,15,0.5783973814548756,0.5875080515842944,0.009110670129418796
audio,start,25,0.5783973814548756,0.5832397848606151,0.004842403405739493
audio,middle,5,0.5783973814548756,0.5749382777647721,-0.0034591036901034933
audio,middle,15,0.5783973814548756,0.5835551460551461,0.005157764600270509
audio,middle,25,0.5783973814548756,0.574501985574884,-0.003895395879991659
audio,end,5,0.5783973814548756,0.5784378881176552,4.0506662779549174e-05
audio,end,15,0.5783973814548756,0.5785434546966087,0.00014607324173310232
audio,end,25,0.5783973814548756,0.5797902919337049,0.001392910478829279
vision,start,5,0.5783973814548756,0.5855082060558949,0.0071108246010193055
vision,start,15,0.5783973814548756,0.5904013162022316,0.012003934747355949
vision,start,25,0.5783973814548756,0.5875415282392026,0.009144146784326956
vision,middle,5,0.5783973814548756,0.5783973814548756,0.0
vision,middle,15,0.5783973814548756,0.57729001941384,-0.0011073620410356755
vision,middle,25,0.5783973814548756,0.5745221740923746,-0.003875207362501021
vision,end,5,0.5783973814548756,0.577303294482984,-0.0010940869718916169
vision,end,15,0.5783973814548756,0.5718815099026787,-0.006515871552196906
vision,end,25,0.5783973814548756,0.575556402450978,-0.00284097900389757
