stage,target_class_probability,change
full,0.8193373680114746,0.0
mask_text,0.22486984729766846,-0.5944675207138062
mask_vision,0.15152092278003693,-0.07334892451763153
mask_audio,0.1529637575149536,0.001442834734916687
