epoch,score,lr,seconds,train_accuracy,train_macro_f1,train_weighted_f1,train_mae,train_pearson,train_ccc,train_loss,train_cls,train_reg,train_rec,train_distill,valid_clean_accuracy,valid_clean_macro_f1,valid_clean_weighted_f1,valid_clean_mae,valid_clean_pearson,valid_clean_ccc,valid_clean_loss,valid_clean_cls,valid_clean_reg,valid_clean_rec,valid_clean_distill,valid_missing_accuracy,valid_missing_macro_f1,valid_missing_weighted_f1,valid_missing_mae,valid_missing_pearson,valid_missing_ccc,valid_missing_loss,valid_missing_cls,valid_missing_reg,valid_missing_rec,valid_missing_distill
1,0.584602057922652,0.001,5.1,0.442120765832106,0.4292278483536776,0.45178078791141524,0.8152381777763367,0.328107457682437,0.26487110037801703,1.257363252822359,1.0308858472574092,0.4529548021935925,0.0,0.0,0.5343406593406593,0.5222788656457994,0.5288524394270631,0.7365137338638306,0.5938019900928456,0.5162776949441489,1.1382186111513075,0.9487802877530946,0.3788766284565349,0.0,0.0,0.5412087912087912,0.5299601420291076,0.5361019212146533,0.747411847114563,0.584825540851984,0.506162367103435,1.1512815153205789,0.957780129306919,0.38700276220237817,0.0,0.0
2,0.6699847164646804,0.001,4.4,0.5946980854197349,0.5833332492737789,0.6085901217168466,0.653813362121582,0.6370274388595866,0.5929642927492947,1.0078407397853082,0.84937750970141,0.31692647280854574,0.0,0.0,0.6222527472527473,0.6163450738352859,0.6306365237363835,0.5709030628204346,0.675284862195921,0.626520987920388,0.9699103295148074,0.8411873768974136,0.25744588132742996,0.0,0.0,0.5989010989010989,0.5931707898068738,0.6081291182184418,0.5851547122001648,0.6522678464360053,0.6022381134516247,0.9889486884022807,0.8540392183995509,0.26981895572536596,0.0,0.0
3,0.6499570627470648,0.001,4.5,0.6577319587628866,0.6494312082801291,0.6693789126149876,0.5964953303337097,0.708161468990111,0.6818559737929341,0.9022666499347856,0.7658234262062629,0.27288644547753904,0.0,0.0,0.5865384615384616,0.5880753592090106,0.59200584824967,0.6218833327293396,0.6505973583907477,0.5660728904657407,1.0378148503355928,0.8883475215880425,0.29893468958990915,0.0,0.0,0.5837912087912088,0.5854561918110402,0.5877650929993902,0.6338100433349609,0.6319128723703932,0.5443595840157809,1.057550588806907,0.9026250295586639,0.30985109164164615,0.0,0.0
4,0.6532295883107013,0.001,4.2,0.6969072164948453,0.6879140300531937,0.707181745737867,0.558689534664154,0.7439979442469866,0.7180459443705103,0.8094488927647362,0.6861994496852555,0.24649888526357502,0.0,0.0,0.6195054945054945,0.5926719922550542,0.6152920393104125,0.5929334759712219,0.6696471532482267,0.6235658040861829,1.000114123899858,0.8652644222909278,0.2696994022353665,0.0,0.0,0.6098901098901099,0.5852463023045154,0.6082484373157725,0.6083111763000488,0.642704410309165,0.5963081870694691,1.0247900119194617,0.883849310350942,0.2818813995345608,0.0,0.0
5,0.6548392897089831,0.0005,4.3,0.7407952871870398,0.7297529646635187,0.7484865188161743,0.5261369943618774,0.7803112933168429,0.7655194842034444,0.709201137249705,0.5985811736695303,0.22123992939936396,0.0,0.0,0.6167582417582418,0.5999478045279573,0.6203837657742531,0.6193109154701233,0.6272161609257478,0.6179016445048533,1.2698638281979404,1.1222513901008355,0.2952248722642333,0.0,0.0,0.6043956043956044,0.5884836781575912,0.6090421786566674,0.6290873289108276,0.6062354836620887,0.5952266336010342,1.2812604838675195,1.129416633438278,0.30368772050836584,0.0,0.0
