id,rank,modality,window_index,attention_score,modality_contribution,occlusion_drop,evidence_score,regression_change,start_time,end_time,text_fragment,frame_path
01,1,text,3,0.0714179128408432,0.7259604334831238,0.012776374816894531,0.0006624113226649797,0.01775449514389038,0.06,0.08,these,
01,2,text,22,0.08381094038486481,0.7259604334831238,0.00931936502456665,0.0005670221030815714,0.052037835121154785,0.44,0.46,is,
01,3,audio,14,0.06275676190853119,0.1103515550494194,0.0007180571556091309,4.972765731248163e-06,0.0010813474655151367,0.28,0.3,replacing,
01,4,audio,15,0.07389745116233826,0.1103515550494194,0.00029921531677246094,2.440010739013232e-06,0.003489673137664795,0.3,0.32,the,
01,5,text,11,0.10025452822446823,0.7259604334831238,0.0,0.0,0.0008792281150817871,0.22,0.24,when,
01,6,audio,13,0.068252794444561,0.1103515550494194,0.0,0.0,0.0006120800971984863,0.26,0.28,replacing,
02,1,text,18,0.20184746384620667,0.4612843990325928,0.11654552817344666,0.010851447623785315,0.18661368638277054,0.36,0.38,each,
02,2,audio,4,0.0690658912062645,0.4087650179862976,0.009743988513946533,0.00027508955062238716,0.015353813767433167,0.08,0.1,want,
02,3,audio,5,0.06884240359067917,0.4087650179862976,0.007335931062698364,0.0002064357856230714,0.013585366308689117,0.1,0.12,want,
02,4,text,17,0.06957928836345673,0.4612843990325928,0.005420207977294922,0.00017396613919018478,0.009482264518737793,0.34,0.36,by,
02,5,vision,9,0.05514620244503021,0.12995055317878723,0.0021306276321411133,1.5268673079438244e-05,0.00083150714635849,0.18,0.2,to,
02,6,vision,18,0.05597462132573128,0.12995055317878723,0.0016391575336456299,1.1923121943258064e-05,0.0005234107375144958,0.36,0.38,each,
03,1,text,21,0.07065778970718384,0.6579194068908691,0.0031545162200927734,0.00014664440631939613,0.021884262561798096,0.42,0.44,just,
03,2,vision,30,0.039840057492256165,0.21748581528663635,0.001109480857849121,9.613260116614342e-06,0.0007281303405761719,0.6,0.62,rental,
03,3,vision,31,0.0402228981256485,0.21748581528663635,0.0009949207305908203,8.703477156979389e-06,0.002343297004699707,0.62,0.64,rental,
03,4,vision,29,0.03951935097575188,0.21748581528663635,0.0005434155464172363,4.670601468581559e-06,0.0003502368927001953,0.58,0.6,take,
03,5,text,14,0.10946110635995865,0.6579194068908691,0.0,0.0,0.15584266185760498,0.28,0.3,I,
03,6,text,20,0.08405173569917679,0.6579194068908691,0.0,0.0,0.09541743993759155,0.4,0.42,just,
04,1,text,25,0.2490420788526535,0.610564112663269,0.35900701582431793,0.05458922737372429,0.8260007351636887,0.5,0.52,kiss,
04,2,audio,9,0.04847588390111923,0.11503306031227112,0.0020079612731933594,1.1197053292555381e-05,0.005110561847686768,0.18,0.2,it,
04,3,text,21,0.13452979922294617,0.610564112663269,0.0,0.0,0.043877363204956055,0.42,0.44,should,
04,4,text,12,0.0740961879491806,0.610564112663269,0.0,0.0,0.03958338499069214,0.24,0.26,at,
04,5,audio,13,0.05154962092638016,0.11503306031227112,0.0,0.0,0.0010063648223876953,0.26,0.28,the,
04,6,audio,15,0.048897888511419296,0.11503306031227112,0.0,0.0,0.0058463215827941895,0.3,0.32,team,
05,1,vision,7,0.07862120866775513,0.1823977679014206,0.0014289617538452148,2.049178697893783e-05,0.0024042129516601562,0.14,0.16,my,
05,2,vision,8,0.07915500551462173,0.1823977679014206,0.00132673978805542,1.915506568483938e-05,0.001638650894165039,0.16,0.18,my,
05,3,vision,6,0.07783389091491699,0.1823977679014206,0.0012929439544677734,1.835557410134747e-05,0.002065896987915039,0.12,0.14,my,
05,4,text,6,0.10585936903953552,0.7086580991744995,0.0,0.0,0.013036727905273438,0.12,0.14,my,
05,5,text,10,0.09268170595169067,0.7086580991744995,0.0,0.0,0.06212258338928223,0.2,0.22,name,
05,6,text,15,0.07848011702299118,0.7086580991744995,0.0,0.0,0.015834450721740723,0.3,0.32,is,
06,1,text,34,0.07332451641559601,0.5501288771629333,0.013630390167236328,0.0005498217938182393,0.013939939439296722,0.68,0.7,might,
06,2,audio,25,0.047642868012189865,0.2982194125652313,0.004458785057067871,6.335054335138146e-05,0.01283266395330429,0.5,0.52,see,
06,3,audio,23,0.04927031695842743,0.2982194125652313,0.00220489501953125,3.2397328261879466e-05,0.009864918887615204,0.46,0.48,"dance,",
06,4,text,33,0.14505517482757568,0.5501288771629333,0.0,0.0,0.19849944859743118,0.66,0.68,you,
06,5,text,26,0.07305799424648285,0.5501288771629333,0.0,0.0,0.09600143879652023,0.52,0.54,impressive,
06,6,audio,21,0.05517870932817459,0.2982194125652313,0.0,0.0,0.0027530863881111145,0.42,0.44,people,
07,1,text,48,0.03942615166306496,0.6806703805923462,0.010171473026275635,0.00027296383279995506,0.01864337921142578,0.96,0.98,succeed,
07,2,vision,46,0.031826138496398926,0.09331054240465164,0.0012500882148742676,3.7124049070691445e-06,0.0022293925285339355,0.92,0.94,make,
07,3,text,9,0.06841021776199341,0.6806703805923462,0.0,0.0,0.05151855945587158,0.18,0.2,November,
07,4,text,10,0.04376260191202164,0.6806703805923462,0.0,0.0,0.034110188484191895,0.2,0.22,28,
07,5,audio,31,0.03717971593141556,0.22601905465126038,0.0,0.0,0.0007585287094116211,0.62,0.64,along,
07,6,audio,33,0.03535585105419159,0.22601905465126038,0.0,0.0,0.0020810365676879883,0.66,0.68,ways,
08,1,text,8,0.1067453995347023,0.5296333432197571,0.0375630259513855,0.0021236603049286096,0.09251207113265991,0.16,0.18,brings,
08,2,text,10,0.09131070226430893,0.5296333432197571,0.011983513832092285,0.0005795370299099822,0.04601240158081055,0.2,0.22,us,
08,3,vision,11,0.10769329220056534,0.18226392567157745,0.0016037225723266602,3.147883371257265e-05,0.0008180141448974609,0.22,0.24,us,
08,4,audio,7,0.10820874571800232,0.28810277581214905,0.0002028942108154297,6.32527589417009e-06,0.005294859409332275,0.14,0.16,brings,
08,5,text,5,0.12899549305438995,0.5296333432197571,0.0,0.0,0.022264540195465088,0.1,0.12,brings,
08,6,audio,10,0.13686932623386383,0.28810277581214905,0.0,0.0,0.017181396484375,0.2,0.22,us,
09,1,text,16,0.26967349648475647,0.7642760276794434,0.001632094383239746,0.0003363828027715954,0.005027055740356445,0.32,0.34,like,
09,2,text,7,0.14701959490776062,0.7642760276794434,0.001678466796875,0.00018859849546970509,0.018866539001464844,0.14,0.16,I,
09,3,text,15,0.10621782392263412,0.7642760276794434,0.0016533136367797852,0.00013421556793957734,0.03513813018798828,0.3,0.32,like,
09,4,vision,10,0.0610351525247097,0.14063367247581482,7.075071334838867e-05,6.072956701963506e-07,0.0034608840942382812,0.2,0.22,did,
09,5,vision,9,0.059262849390506744,0.14063367247581482,6.771087646484375e-05,5.643262586119135e-07,0.004312992095947266,0.18,0.2,did,
09,6,audio,5,0.08410445600748062,0.09509024024009705,0.0,0.0,0.004497528076171875,0.1,0.12,I,
10,1,text,30,0.2657545804977417,0.853678286075592,0.03303670883178711,0.0074950022078112966,0.339061975479126,0.6,0.62,I'm,
10,2,text,23,0.15036553144454956,0.853678286075592,0.004335641860961914,0.0005565394132389656,0.016705989837646484,0.46,0.48,chick,
10,3,text,29,0.09401898086071014,0.853678286075592,0.0037412047386169434,0.0003002764274233627,0.030046701431274414,0.58,0.6,so,
10,4,audio,16,0.042653486132621765,0.04609818384051323,5.424022674560547e-05,1.0664975180763037e-07,0.0006946325302124023,0.32,0.34,to,
10,5,audio,15,0.04211048036813736,0.04609818384051323,5.358457565307617e-05,1.0401927011405299e-07,0.0006070137023925781,0.3,0.32,like,
10,6,vision,27,0.0400240495800972,0.10022348910570145,2.384185791015625e-05,9.563803082812683e-08,0.00016796588897705078,0.54,0.56,sometimes,
11,1,text,4,0.26711541414260864,0.7502036094665527,0.003995418548583984,0.0008006457179803306,0.024811744689941406,0.08,0.1,would,
11,2,text,2,0.17200739681720734,0.7502036094665527,0.005668342113494873,0.0007314460919918275,0.07236313819885254,0.04,0.06,I,
11,3,text,3,0.17669512331485748,0.7502036094665527,0.004539132118225098,0.0006016951778899937,0.06142926216125488,0.06,0.08,I,
11,4,vision,13,0.08611031621694565,0.055240973830223083,9.745359420776367e-05,4.635689715426494e-07,0.002931356430053711,0.26,0.28,ashamed,
11,5,vision,14,0.08016127347946167,0.055240973830223083,6.270408630371094e-05,2.776654147718105e-07,0.001690506935119629,0.28,0.3,ashamed,
11,6,vision,8,0.07704805582761765,0.055240973830223083,6.365776062011719e-05,2.7094078614009476e-07,0.001394033432006836,0.16,0.18,be,
12,1,text,41,0.14049476385116577,0.45393043756484985,0.02939605712890625,0.0018747290309306663,0.044155240058898926,0.82,0.84,"sag,",
12,2,text,30,0.06630148738622665,0.45393043756484985,0.011220157146453857,0.00033768479694096243,0.021657109260559082,0.6,0.62,their,
12,3,text,40,0.06247541308403015,0.45393043756484985,0.006230771541595459,0.00017670151181259364,0.011832714080810547,0.8,0.82,"sag,",
12,4,audio,35,0.03463749960064888,0.37645214796066284,0.0011928677558898926,1.55542330010916e-05,0.003838658332824707,0.7,0.72,have,
12,5,audio,38,0.03790762275457382,0.37645214796066284,0.0010358095169067383,1.478142256905457e-05,0.000491797924041748,0.76,0.78,their,
12,6,vision,2,0.029080191627144814,0.1696174144744873,0.000391542911529541,1.9312881289201833e-06,0.002206861972808838,0.04,0.06,"worse,",
13,1,text,6,0.0531361885368824,0.5190460681915283,0.010050296783447266,0.0002771884816015202,0.020624756813049316,0.12,0.14,could,
13,2,audio,1,0.046433381736278534,0.31630462408065796,0.0028277039527893066,4.153075085977509e-05,0.0023714303970336914,0.02,0.04,For,
13,3,audio,2,0.05751198157668114,0.31630462408065796,0.00201416015625,3.6640203575188934e-05,0.007112026214599609,0.04,0.06,"example,",
13,4,audio,3,0.0600421205163002,0.31630462408065796,0.0016921758651733398,3.213712838290306e-05,0.006987571716308594,0.06,0.08,"example,",
13,5,text,29,0.09755327552556992,0.5190460681915283,0.0,0.0,0.0025368332862854004,0.58,0.6,find,
13,6,text,23,0.05219459906220436,0.5190460681915283,0.0,0.0,0.007086992263793945,0.46,0.48,"data,",
14,1,text,33,0.05538492277264595,0.7078417539596558,0.027822792530059814,0.0010907580609245127,0.0290602445602417,0.66,0.68,Uniform,
14,2,vision,16,0.031615011394023895,0.17693813145160675,0.00044226646423339844,2.47399483177535e-06,0.00016361474990844727,0.32,0.34,Vettese,
14,3,vision,19,0.030659301206469536,0.17693813145160675,0.0003222227096557617,1.747993561229677e-06,0.00041860342025756836,0.38,0.4,and,
14,4,vision,17,0.03167717531323433,0.17693813145160675,0.00020164251327514648,1.1301862072876645e-06,0.0006048679351806641,0.34,0.36,Limited,
14,5,text,9,0.07727885246276855,0.7078417539596558,0.0,0.0,0.029188990592956543,0.18,0.2,of,
14,6,text,11,0.05532329902052879,0.7078417539596558,0.0,0.0,0.017186880111694336,0.22,0.24,Rossen,
15,1,vision,21,0.06458891928195953,0.2302844524383545,0.0048596858978271484,7.228211313958788e-05,0.014476954936981201,0.42,0.44,education,
15,2,vision,20,0.05971742048859596,0.2302844524383545,0.0013584494590759277,1.8681388657182385e-05,0.004101693630218506,0.4,0.42,prioritize,
15,3,audio,4,0.08389786630868912,0.08382110297679901,0.0006151199340820312,4.3257765836024475e-06,0.001473844051361084,0.08,0.1,despite,
15,4,audio,3,0.06484412401914597,0.08382110297679901,0.00036913156509399414,2.00634305233538e-06,0.0011056065559387207,0.06,0.08,despite,
15,5,vision,17,0.05822810158133507,0.2302844524383545,0.00010222196578979492,1.3706970888871517e-06,0.0014063715934753418,0.34,0.36,family,
15,6,text,5,0.11995524913072586,0.6858944296836853,0.0,0.0,0.011803090572357178,0.1,0.12,despite,
16,1,text,10,0.31229880452156067,0.6892797946929932,0.0036902427673339844,0.0007943662736096258,0.02629697322845459,0.2,0.22,a,
16,2,text,5,0.24018366634845734,0.6892797946929932,0.0012148022651672363,0.0002011150688154828,0.01398468017578125,0.1,0.12,It's,
16,3,vision,4,0.09973478317260742,0.12110615521669388,0.00013965368270874023,1.6868064055541865e-06,0.005410313606262207,0.08,0.1,It's,
16,4,audio,4,0.1211666539311409,0.18961405754089355,5.21540641784668e-05,1.1982344561012326e-06,0.0031369924545288086,0.08,0.1,It's,
16,5,vision,6,0.10012853145599365,0.12110615521669388,5.221366882324219e-05,6.331524131653055e-07,0.00020968914031982422,0.12,0.14,It's,
16,6,text,4,0.1295011043548584,0.6892797946929932,0.0,0.0,0.013873100280761719,0.08,0.1,It's,
17,1,text,15,0.08030641078948975,0.6879898309707642,0.0027358531951904297,0.00015115586922131996,0.01567244529724121,0.3,0.32,your,
17,2,audio,1,0.05747856944799423,0.20833733677864075,0.0007926821708679199,9.49231485164459e-06,0.0031462907791137695,0.02,0.04,Applying,
17,3,audio,18,0.06331875175237656,0.20833733677864075,0.00038623809814453125,5.095121644593803e-06,0.0023250579833984375,0.36,0.38,presentations,
17,4,text,10,0.11795762181282043,0.6879898309707642,0.0,0.0,0.014232397079467773,0.2,0.22,concepts,
17,5,text,12,0.08660943061113358,0.6879898309707642,0.0,0.0,0.022452712059020996,0.24,0.26,to,
17,6,audio,7,0.05762011557817459,0.20833733677864075,0.0,0.0,0.0016345977783203125,0.14,0.16,design,
18,1,text,29,0.12160689383745193,0.7626885771751404,0.11268770694732666,0.01045158057090756,0.11494618654251099,0.58,0.6,the,
18,2,text,40,0.11459801346063614,0.7626885771751404,0.08160623908042908,0.0071325972327236364,0.0969853401184082,0.8,0.82,agreement,
18,3,text,48,0.059915222227573395,0.7626885771751404,0.0008623600006103516,3.9406969288613425e-05,0.008882105350494385,0.96,0.98,European,
18,4,audio,42,0.0356440432369709,0.10852255672216415,0.0006598234176635742,2.552317499848744e-06,0.00138777494430542,0.84,0.86,mackerel,
18,5,audio,36,0.03334061801433563,0.10852255672216415,0.0006132721900939941,2.2189470540168177e-06,0.002086937427520752,0.72,0.74,to,
18,6,audio,32,0.034284770488739014,0.10852255672216415,0.0005831122398376465,2.169568764642804e-06,0.0008409023284912109,0.64,0.66,the,
19,1,text,39,0.05924779921770096,0.7555767893791199,0.008486390113830566,0.0003799039647436331,0.020255282521247864,0.78,0.8,"imperfections,",
19,2,vision,33,0.03074745647609234,0.1342736929655075,0.0019061565399169922,7.869709081065324e-06,0.0009182393550872803,0.66,0.68,and,
19,3,vision,34,0.03081810474395752,0.1342736929655075,0.0015289783477783203,6.3270054344588544e-06,2.6673078536987305e-05,0.68,0.7,jump,
