epoch,score,lr,seconds,train_accuracy,train_macro_f1,train_weighted_f1,train_mae,train_pearson,train_ccc,train_loss,train_cls,train_reg,train_rec,train_distill,valid_clean_accuracy,valid_clean_macro_f1,valid_clean_weighted_f1,valid_clean_mae,valid_clean_pearson,valid_clean_ccc,valid_clean_loss,valid_clean_cls,valid_clean_reg,valid_clean_rec,valid_clean_distill,valid_missing_accuracy,valid_missing_macro_f1,valid_missing_weighted_f1,valid_missing_mae,valid_missing_pearson,valid_missing_ccc,valid_missing_loss,valid_missing_cls,valid_missing_reg,valid_missing_rec,valid_missing_distill
1,0.6153739176652774,0.001,5.0,0.4812960235640648,0.45122376968298533,0.48711134805327916,0.7915440201759338,0.39525822346359063,0.322201945789603,1.2436763200563254,1.0283637927628406,0.4306250664376721,0.0,0.0,0.5398351648351648,0.5512343615115759,0.5497360008638791,0.6412788033485413,0.6105530777012974,0.5429622718502524,1.0485441789522276,0.8967790413688828,0.303530290886596,0.0,0.0,0.5480769230769231,0.5586165072626809,0.5559563038021147,0.6369684934616089,0.6044848327814897,0.5366114306340845,1.0504985615447326,0.8990850789206368,0.30282696328320347,0.0,0.0
2,0.6343632971619418,0.001,4.2,0.6176730486008837,0.6104436991102523,0.6323521786852218,0.6400958895683289,0.6545065406918074,0.6162691682852777,0.9839060471932211,0.830732485594911,0.3063471273575335,0.0,0.0,0.5645604395604396,0.569567288008127,0.5780622509380494,0.5795636177062988,0.6695818892413576,0.6393826793280672,0.999669740488241,0.865827257161612,0.26768494634837897,0.0,0.0,0.5618131868131868,0.5673810538787117,0.5747381407725128,0.5770684480667114,0.6588912621852252,0.6267119652617749,1.0046908855438232,0.8705665632918641,0.2682486235440432,0.0,0.0
3,0.6589859445049387,0.001,4.3,0.6459499263622975,0.6354207057530855,0.65868006184841,0.5905672311782837,0.6953565486156847,0.661171986310287,0.9162576559541503,0.7785339161029445,0.2754474802691605,0.0,0.0,0.6236263736263736,0.5828488227684755,0.6130563230167506,0.6254788637161255,0.6698620517017347,0.6579039129728608,1.0639622145956689,0.9185068554930634,0.2909107044502929,0.0,0.0,0.6373626373626373,0.6033790353801213,0.6299106462249193,0.6220948100090027,0.6587201543064037,0.6466172730251885,1.065214713851174,0.9186855567680611,0.2930583158037165,0.0,0.0
4,0.6715087403670957,0.001,4.2,0.6874815905743741,0.6775112028335114,0.6969485700876458,0.5695850849151611,0.7269141939915349,0.7003475943687761,0.840928394243187,0.7129083957517621,0.2560399938928888,0.0,0.0,0.6208791208791209,0.6044264313131217,0.626058969030137,0.6081237196922302,0.666995532497076,0.6053378742094788,1.0087235406204895,0.8678083668698321,0.28183035044879706,0.0,0.0,0.6208791208791209,0.6076394358846009,0.6276578474027331,0.6086196303367615,0.6547580676823453,0.5926230052354212,1.0079137099968207,0.8656553802909431,0.28451665155180206,0.0,0.0
5,0.6725192418943742,0.001,4.3,0.7139911634756996,0.7010467543645463,0.7222602617925487,0.5452479124069214,0.7467244178091349,0.721849072248565,0.7915898299533243,0.6709203415836957,0.2413389826119385,0.0,0.0,0.625,0.6090814414919511,0.6286552538834731,0.6063356399536133,0.657692518081888,0.6514108719771202,1.0556968109948295,0.9149571382082425,0.2814793481931582,0.0,0.0,0.6236263736263736,0.6070510043640098,0.6278062910448234,0.6096451878547668,0.6445301896639372,0.637298062712699,1.0600296887722644,0.9169167908993396,0.2862257760959667,0.0,0.0
6,0.656422834689493,0.001,4.2,0.7372606774668631,0.7260664817612702,0.7449107258103783,0.529179036617279,0.7700506830915824,0.7488665341461279,0.7246460422324853,0.6117964312500034,0.22569921308132615,0.0,0.0,0.6085164835164835,0.5971906888450622,0.6146067744240538,0.5945077538490295,0.6448625361907864,0.5921622980442937,1.0816018476591005,0.9439459790240278,0.2753117389076359,0.0,0.0,0.6016483516483516,0.5895794906470738,0.6079847332984415,0.5993891358375549,0.630377449434251,0.5756964687246696,1.0846412915449877,0.9443949316884135,0.2804927069407243,0.0,0.0
7,0.6470892082124418,0.001,4.3,0.7749631811487482,0.7654426773876364,0.7806453822102222,0.5202218890190125,0.781103885814295,0.7602717649414316,0.6615071780551691,0.5525794826041968,0.21785539509577673,0.0,0.0,0.592032967032967,0.5929412414912615,0.6017454767497176,0.6052003502845764,0.6353852103255077,0.6107116292495753,1.1035157586192037,0.9611784612739479,0.28467456456069107,0.0,0.0,0.5782967032967034,0.5775844600496104,0.5884520939703834,0.6124983429908752,0.6182635744200576,0.5921744228583944,1.1194262714176388,0.9740711070679047,0.2907103241144956,0.0,0.0
8,0.65803348466687,0.0005,4.1,0.8159057437407953,0.8055003734345184,0.8199953009474613,0.49929115176200867,0.7977098615977218,0.7835922519890919,0.5707604250035335,0.46833175842119423,0.20485733232196196,0.0,0.0,0.5989010989010989,0.6001885633712433,0.6090165139465481,0.5949129462242126,0.6259917834390105,0.5900576626037635,1.2279495433136658,1.0865831178623242,0.28273283813025923,0.0,0.0,0.592032967032967,0.5933920007176771,0.6020558071832856,0.6013264656066895,0.6124320262240981,0.5734067113439562,1.237037800170563,1.0927762107534722,0.28852318079916983,0.0,0.0
